ID;Campo;Valor;Fecha;Fuente
R40-RINCON-R04;Estado;R40_RINCON_R04_REAL_REBUILD_REQUIRED;2026-09-26;#271
R40-RINCON-R04;Sustituye;R40-RINCON-R03/#269;2026-09-26;#271
R40-RINCON-R04;Motivo;HUMAN_QA_FAIL;2026-09-26;capturas Maria + revision diff
R40-RINCON-R04;Responsable_construccion;Agente 7;2026-09-26;#271
R40-RINCON-R04;Responsable_integracion;Agente 2;2026-09-26;#265/#271
R40-RINCON-R04;Reproductor;VISIBLE_ARRIBA_ANTES_DE_CATALOGO_Y_AJUSTES;2026-09-26;#271
R40-RINCON-R04;Sonidos_generales;12_REHACER;2026-09-26;#271
R40-RINCON-R04;Ambientes_escena;9_REHACER;2026-09-26;#271
R40-RINCON-R04;Visuales;RECONSTRUIR_8_PREVIAS_MAS_PULPOS;2026-09-26;#271
R40-RINCON-R04;Aceptacion;PREVIEW_WEB_MAS_REVISION_HUMANA_VISUAL_AUDITIVA;2026-09-26;#271
