ID;Campo;Valor;Fecha;Fuente
R41;Estado;R41_INTERACTIVE_PRODUCT_REBUILD_REQUIRED;2026-09-26;#276
R41;Trigger;HUMAN_QA_DESIGN_FAIL;2026-09-26;capturas Maria
R41;A3;#277 app shell;2026-09-26;#276
R41;A5;#278 Taller canvas-first;2026-09-26;#276
R41;A1;#279 Juegos play-first;2026-09-26;#276
R41;A4;#280 Intereses visual explorer;2026-09-26;#276
R41;A7;#281 Rincon immersive;2026-09-26;#276
R41;A2;#282 integracion y preview;2026-09-26;#276
R41;A6;VOICE_ONLY;2026-09-26;#276
R41;Acceptance;CI + HUMAN_QA_WEB;2026-09-26;ADDENDUM_R41
R41;Old_visual_orders;260|261|262|263|265_SUPERSEDED;2026-09-26;#276
