ID;Campo;Valor;Fecha;Fuente
R42-A1;Estado;R42_A1_RESOURCES_GAMES_ROUTINES_READY_FOR_A2;2026-09-26;#286
R42-A1;Normativa_embebida;LEIDA_Y_REGISTRADA;2026-09-26;#286
R42-A1;Base;52e5f9f02184581a1bfb1878c388ede3d1068c47;2026-09-26;freeze/r40-a2-web-baseline-20260926
R42-A1;HEAD;c88ede84d8f4f88e3a93390d7502e226ba5f4e0d;2026-09-26;agent1/r42-resources-games-routines-ready
R42-A1;Tree;c8806e6a62ead7c8fa869a2793768d8d7a388f7d;2026-09-26;GitHub
R42-A1;Juegos_total;297;2026-09-26;R42 test
R42-A1;Juegos_baseline_preservados;252;2026-09-26;R42 test
R42-A1;Juegos_nuevos;45;2026-09-26;R42 test
R42-A1;Rutinas_validas;109;2026-09-26;R42 test
R42-A1;Rutinas_descarga_SVG_A4;109;2026-09-26;R42 test
R42-A1;ARASAAC;NO;2026-09-26;manifest
R42-A1;Watermark;IRIS_GREEN_irisgreen.eu;2026-09-26;#286
R42-A1;QA_run;36241371415_SUCCESS;2026-09-26;GitHub Actions
R42-A1;QA_job;108402384115_SUCCESS;2026-09-26;GitHub Actions
R42-A1;ES_EN;COMPLETO_EN_ALCANCE;2026-09-26;#286
R42-A1;Deploy_A1;NO;2026-09-26;#286
R42-A1;Aceptacion_final;PENDIENTE_A2_PREVIEW_HUMAN_QA;2026-09-26;#289
