ID;Campo;Valor;Fecha;Fuente
R42-A3;Estado;R42_A3_APP_SHELL_BUILD_READY_FOR_A2;2026-09-26;#284
R42-A3;Base_A2;574356cba3b73dc8477a625d2c6311008260a2d6;2026-09-26;PR244
R42-A3;Branch;agent3/r42-app-shell-20260926;2026-09-26;GitHub
R42-A3;HEAD;85a972a1024de3ad009484463f46620346922b02;2026-09-26;PR290
R42-A3;Tree;dc7163325e54937e99797f77842035ae4f1a80b7;2026-09-26;GitHub
R42-A3;PR;290;2026-09-26;GitHub
R42-A3;Pilot;8_ES_EN_ROUTES_4_FAMILIES;2026-09-26;#284
R42-A3;CI;36242268262_SUCCESS;2026-09-26;GitHub Actions
R42-A3;Contract;PASS;2026-09-26;CI
R42-A3;Build_files;2195;2026-09-26;CI
R42-A3;Global_rollout;NO_PENDING_HUMAN_QA;2026-09-26;Maria
R42-A3;Deploy;0;2026-09-26;#284
R42-A3;Main;UNCHANGED;2026-09-26;#284
R42-A3;Next;A2_INTEGRATE_PREVIEW_THEN_MARIA_HUMAN_QA;2026-09-26;#289
