ID;Campo;Valor;Fecha;Fuente
R42-CHILD-SAFE;Estado;R42_CHILD_SAFE_CONTENT_ARCHITECTURE_REQUIRED;2026-09-26;#293
R42-CHILD-SAFE;Catalogo;185_CONDICIONES+187_SITUACIONES=372;2026-09-26;web actual
R42-CHILD-SAFE;Etapas;INFANCIA|ADOLESCENCIA|ADULTEZ|TRANSVERSAL;2026-09-26;R42
R42-CHILD-SAFE;Sensibilidad;S0_GENERAL|S1_SENSITIVE|S2_HIGH_SENSITIVITY;2026-09-26;#293
R42-CHILD-SAFE;Default;SAFE_BY_DEFAULT;2026-09-26;#293
R42-CHILD-SAFE;Infancia_S2;NO_DISCOVERY_INCIDENTAL;2026-09-26;#293
R42-CHILD-SAFE;Adolescencia_S2;INTENTIONAL_ONLY;2026-09-26;#293
R42-CHILD-SAFE;DOB;NO_REQUERIDA;2026-09-26;AEPD/minimizacion
R42-CHILD-SAFE;A4;#294;2026-09-26;#293
R42-CHILD-SAFE;A3;#295;2026-09-26;#293
R42-CHILD-SAFE;A1;#296;2026-09-26;#293
R42-CHILD-SAFE;A2;#297;2026-09-26;#293
