ID;Campo;Valor;Fecha;Fuente
R42-DESIGN;Estado;R42_DESIGN_CRYSTAL_SYSTEM_BUILD_ACTIVE;2026-09-26;#301
R42-DESIGN;Issue;301;2026-09-26;GitHub
R42-DESIGN;Base_A2;e8cad400a30d5d4857f9f99b0c1070d786958a8b;2026-09-26;A2 observed
R42-DESIGN;A3_shell;PR290_MERGED;2026-09-26;GitHub
R42-DESIGN;Regla;CRISTAL_SOLO_CHROME;2026-09-26;#301
R42-DESIGN;Contenido;OPACO_ESTABLE;2026-09-26;#301
R42-DESIGN;Variantes;LIGHT|DARK|OPAQUE;2026-09-26;#301
R42-DESIGN;Preferencia;TRANSPARENCIA_MANUAL+SYSTEM;2026-09-26;#301
R42-DESIGN;Pilotos;NAV|TALLER|JUEGOS|RINCON|INTERESES;2026-09-26;#301
R42-DESIGN;Integracion;A2_ONLY;2026-09-26;#301
R42-DESIGN;Aceptacion;HUMAN_QA_MARIA;2026-09-26;#301
