ID;Campo;Valor;Fecha;Fuente
R42;Estado;R42_EMBEDDED_NORMATIVE_REBUILD_REQUIRED;2026-09-26;#283
R42;Normativa_embebida;OBLIGATORIA_EN_CADA_ORDEN;2026-09-26;decision Maria
R42;Marcador_acuse;R42_NORMATIVA_EMBEBIDA_LEIDA;2026-09-26;ADDENDUM_R42
R42;A3;#284;2026-09-26;#283
R42;A5;#285;2026-09-26;#283
R42;A1;#286;2026-09-26;#283
R42;A4;#287;2026-09-26;#283
R42;A7;#288;2026-09-26;#283
R42;A2;#289;2026-09-26;#283
R42;A6;VOICE_ONLY;2026-09-26;#283
R42;Acceptance;A2_PREVIEW_PLUS_HUMAN_QA;2026-09-26;#289
