archivo_publicado,proveedor,id_fuente,url_fuente,licencia,atribucion,clase_imagen,alternativa,etiquetas_es,etiquetas_en,usos
/assets/pictogramas/dinero/b5.svg,Iris Green (dibujo vectorial propio),b5,,© Iris Green,Iris Green,funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",5 €,€5,juego:la-compra
/assets/pictogramas/dinero/c50.svg,Iris Green (dibujo vectorial propio),c50,,© Iris Green,Iris Green,funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",50 céntimos,50 cents,juego:la-compra
/assets/pictogramas/dinero/e2.svg,Iris Green (dibujo vectorial propio),e2,,© Iris Green,Iris Green,funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",2 €,€2,juego:la-compra
/assets/pictogramas/fase1/limpio-break_time_2.svg,Mulberry Symbols,break_time_2,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/break_time_2.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Hacer una pausa,Take a break,juego:estudiar-para-un-examen imprimible:estudiar-por-partes imprimible:empezar-una-tarea
/assets/pictogramas/fase1/limpio-cook.svg,Mulberry Symbols,cook,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/cook.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Cocinar,Cook,imprimible:cocinar-una-receta
/assets/pictogramas/fase1/limpio-draw.svg,Mulberry Symbols,draw,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/draw.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Dibujar,Draw,juego:construye-tu-tarde
/assets/pictogramas/fase1/limpio-dry_face.svg,Mulberry Symbols,dry_face,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/dry_face.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Secarse la cara | Secar la cara | Secar,Dry your face | Dry,juego:objeto-accion juego:ordena-secarse juego:que-viene-secarse juego:ordena-afeitarse-o-cuidado-personal juego:que-viene-afeitarse-o-cuidado-personal imprimible:afeitarse imprimible:rutina-secarse imprimible:rutina-afeitarse-o-cuidado-personal
/assets/pictogramas/fase1/limpio-dry_hair.svg,Mulberry Symbols,dry_hair,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/dry_hair.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Secarse el pelo | Secar el pelo,Dry your hair,juego:ordena-lavarse-el-pelo juego:que-viene-lavarse-el-pelo juego:ordena-secarse juego:que-viene-secarse imprimible:rutina-lavarse-el-pelo imprimible:rutina-secarse
/assets/pictogramas/fase1/limpio-dust.svg,Mulberry Symbols,dust,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/dust.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Quitar el polvo,Dust,juego:dividir-una-tarea-grande imprimible:limpiar-la-casa
/assets/pictogramas/fase1/limpio-enter_door.svg,Mulberry Symbols,enter_door,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/enter_door.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Entrar,Go in,
/assets/pictogramas/fase1/limpio-exercise.svg,Mulberry Symbols,exercise,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/exercise.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Hacer ejercicio,Exercise,juego:construye-tu-tarde
/assets/pictogramas/fase1/limpio-feed_cat.svg,Mulberry Symbols,feed_cat,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/feed_cat.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Dar de comer al gato,Feed the cat,
/assets/pictogramas/fase1/limpio-feed_dog.svg,Mulberry Symbols,feed_dog,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/feed_dog.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Darle agua y comida | Dar de comer,Give it water and food | Feed the animal,juego:salir-con-el-perro juego:que-falta-quitarse-la-ropa-y-dejarla-en-su-sitio juego:que-falta-guardar-la-comida juego:ordena-cuidar-a-un-animal-de-compania juego:que-falta-cuidar-a-un-animal-de-compania imprimible:rutina-cuidar-a-un-animal-de-compania
/assets/pictogramas/fase1/limpio-flush_toilet.svg,Mulberry Symbols,flush_toilet,https://github.com/mulberrysymbols/mulberry-symbols/blob/master/EN/flush_toilet.svg,CC BY-SA 4.0,"Mulberry Symbols © Garry Paxton 2008-2017, © Steve Lee 2018-2026",funcional (en botón) o informativa (en hoja); siempre junto a su texto,"alt="""" porque el texto visible dice lo mismo",Tirar de la cadena,Flush the toilet,juego:ordena-ir-al-bano juego:que-viene-ir-al-bano imprimible:ir-al-bano
