presence,mode,item_number,expected_state
web,color,1,ORIENTAR
web,color,2,CONFIRMAR
web,color,3,PAUSA
web,color,4,TRANSICIÓN
web,color,5,PRESENTE
web,mono,1,PAUSA
web,mono,2,ORIENTAR
web,mono,3,CONFIRMAR
web,mono,4,PRESENTE
web,mono,5,TRANSICIÓN
ia,color,1,TRANSICIÓN
ia,color,2,PRESENTE
ia,color,3,ORIENTAR
ia,color,4,CONFIRMAR
ia,color,5,PAUSA
ia,mono,1,CONFIRMAR
ia,mono,2,TRANSICIÓN
ia,mono,3,PAUSA
ia,mono,4,ORIENTAR
ia,mono,5,PRESENTE
educa,color,1,PAUSA
educa,color,2,CONFIRMAR
educa,color,3,PRESENTE
educa,color,4,TRANSICIÓN
educa,color,5,ORIENTAR
educa,mono,1,ORIENTAR
educa,mono,2,PRESENTE
educa,mono,3,CONFIRMAR
educa,mono,4,TRANSICIÓN
educa,mono,5,PAUSA
