test,metric,presence,mode,row_label,column_label,count,n,status,notes
A,MOST_SIMILAR,WEB,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
