participant_id,test_a_sheet_order,test_b1_sheet_order,test_b2_sheet_order
P01,WC IM EM EC IC WM,WC WM EM IC EC IM,EM IC WC WM IM EC
P02,IM EC WC WM EM IC,WM IC WC IM EM EC,IC WM EM EC WC IM
P03,EC WM IM IC WC EM,IC IM WM EC WC EM,WM EC IC IM EM WC
P04,WM IC EC EM IM WC,IM EC IC EM WM WC,EC IM WM WC IC EM
P05,IC EM WM WC EC IM,EC EM IM WC IC WM,IM WC EC EM WM IC
P06,EM WC IC IM WM EC,EM WC EC WM IM IC,WC EM IM IC EC WM
P07,WC EC IM EM WM IC,WM WC IC EM IM EC,IC EM WC IM WM EC
P08,IM WM EC IC EM WC,IC WM EC WC EM IM,WM WC IM EM EC IC
P09,EC IC WM WC IM EM,IM IC EM WM EC WC,EC IC EM WC IM WM
P10,WM EM IC IM WC EC,EC IM WC IC WM EM,IM WM WC EC IC EM
