jurisdiccion,dominio,registros,estado_cobertura,abierto,cerrado,permanente,proxima_convocatoria,historico,por_verificar,ids
Andalucía,discapacidad,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,and-discapacidad-individual
Andalucía,dependencia,2,PRESENTE_CON_EVIDENCIA,0,0,2,0,0,0,and-dependencia|and-temprana
Andalucía,educación,2,PRESENTE_CON_EVIDENCIA,0,1,1,0,0,0,and-comedor|and-libros
Andalucía,universidad,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,and-universidad-99
Andalucía,empleo,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,vivienda,1,PRESENTE_POR_VERIFICAR,0,0,0,0,0,1,and-alquiler
Andalucía,transporte,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,and-transporte-escolar
Andalucía,salud,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,atención temprana,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,and-temprana
Andalucía,conciliación,1,PRESENTE_POR_VERIFICAR,0,0,0,0,0,1,and-infantil-03
Andalucía,fiscalidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,suministros,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,accesibilidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,ayudas técnicas,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Andalucía,autonomía personal,3,PRESENTE_CON_EVIDENCIA,0,1,2,0,0,0,and-dependencia|and-discapacidad-individual|and-temprana
Andalucía,familia,3,PRESENTE_CON_EVIDENCIA,0,0,2,1,0,0,and-familias|and-familia-numerosa|and-monoparental
Andalucía,ingresos/prestaciones,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,and-rmisa
Andalucía,libros/material,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,and-libros
Aragón,discapacidad,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ara-disc-dep-individual
Aragón,dependencia,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ara-disc-dep-individual
Aragón,educación,2,PRESENTE_CON_EVIDENCIA,0,2,0,0,0,0,ara-comedor|ara-material
Aragón,universidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,empleo,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,vivienda,1,PRESENTE_POR_VERIFICAR,0,0,0,0,0,1,ara-vivienda-ayudas
Aragón,transporte,1,PRESENTE_POR_VERIFICAR,0,0,0,0,0,1,ara-transporte-comedor
Aragón,salud,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,atención temprana,2,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,1,ara-temprana-espera|ara-infantil-publica
Aragón,conciliación,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ara-infantil-publica
Aragón,fiscalidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,suministros,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,accesibilidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,ayudas técnicas,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Aragón,autonomía personal,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ara-disc-dep-individual
Aragón,familia,2,PRESENTE_CON_EVIDENCIA,0,0,2,0,0,0,ara-familia-numerosa|ara-monoparental
Aragón,ingresos/prestaciones,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,ara-pacimv
Aragón,libros/material,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ara-material
Asturias,discapacidad,2,PRESENTE_CON_EVIDENCIA,0,1,1,0,0,0,ast-productos|ast-complemento-vital
Asturias,dependencia,3,PRESENTE_CON_EVIDENCIA,0,0,3,0,0,0,ast-dependencia|ast-cuidados-entorno|ast-complemento-vital
Asturias,educación,1,PRESENTE_CON_EVIDENCIA,0,1,0,0,0,0,ast-libros-prestamo-2026-27
Asturias,universidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,empleo,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,vivienda,1,PRESENTE_POR_VERIFICAR,0,0,0,0,0,1,ast-alquiler
Asturias,transporte,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,salud,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,atención temprana,1,PRESENTE_CON_EVIDENCIA,0,0,1,0,0,0,ast-temprana
Asturias,conciliación,2,PRESENTE_CON_EVIDENCIA,0,2,0,0,0,0,ast-concilia-03|ast-concilia-cuidados
Asturias,fiscalidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,suministros,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
Asturias,accesibilidad,0,AUSENTE_EN_CORPUS,0,0,0,0,0,0,
