id,nombre,organismo,jurisdiccion,nivel_jurisdiccion,categoria,url_oficial,tipo_recurso,fecha_consulta,situacion_actual,fecha_apertura,fecha_cierre,recurrente,proxima_convocatoria_conocida,proxima_revision,fuente_primaria,url_anterior,resultado_url,nueva_url_oficial,observaciones
es-dependencia,Reconocimiento de dependencia y PIA,IMSERSO,España · Estatal,estatal,Discapacidad y dependencia,https://imserso.es/autonomia-personal-dependencia/sistema-autonomia-atencion-dependencia-saad/preguntas-frecuentes/tramitacion-reconocimiento-situacion-dependencia-derecho-prestaciones-sistema,derecho subjetivo,2026-09-20,PERMANENTE,,,no,,2026-12-20,SÍ,https://imserso.es/autonomia-personal-dependencia/sistema-autonomia-atencion-dependencia-saad/preguntas-frecuentes/tramitacion-reconocimiento-situacion-dependencia-derecho-prestaciones-sistema,OK · IMSERSO oficial; solicitud en cualquier momento,,"Base original: La dependencia se valora por separado de la discapacidad. Tras el grado, el Programa Individual de Atención (PIA) determina servicios o prestaciones: ayuda a domicilio, teleasistencia, centro de día, residencia, asistencia personal o cuidados familiares. | Quién: Personas que necesitan apoyo para actividades de la vida diaria según los criterios del SAAD. | Documentos: Solicitud autonómica, identificación, empadronamiento e informes requeridos por la comunidad autónoma. | Nota: La compatibilidad entre servicios y prestaciones depende del PIA y de la regulación autonómica. | Cuantía: Según grado, servicio, capacidad económica y comunidad autónoma | IMSERSO indica que el reconocimiento puede solicitarse en cualquier momento; la gestión corresponde al órgano de la CCAA o IMSERSO Ceuta/Melilla."
es-discapacidad,Reconocimiento del grado de discapacidad,IMSERSO,España · Estatal,estatal,Discapacidad y dependencia,https://imserso.es/autonomia-personal-dependencia/grado-de-discapacidad,derecho subjetivo,2026-09-20,PERMANENTE,,,no,,2026-12-20,SÍ,https://imserso.es/autonomia-personal-dependencia/grado-de-discapacidad,OK · IMSERSO oficial,,"Base original: El reconocimiento oficial del grado de discapacidad abre acceso a beneficios, prestaciones y medidas de apoyo. Se solicita ante la comunidad autónoma; en Ceuta y Melilla, ante el IMSERSO. | Quién: Personas que soliciten valoración de discapacidad. La resolución tiene validez en todo España. | Documentos: Solicitud oficial, identificación e informes médicos; pueden añadirse informes psicológicos, educativos o sociales relevantes. | Nota: Compatible con solicitar dependencia: son procedimientos distintos. | Cuantía: Sin cuantía fija"
es-neae,Ayudas NEAE 2026-2027,Ministerio de Educación,España · Estatal,estatal,Educación y comedor,https://www.educacionfpydeportes.gob.es/servicios-al-ciudadano/catalogo/general/05/050140/ficha/050140-2026.html,beca,2026-09-20,CERRADO,19 de mayo de 2026,10 de septiembre de 2026,sí · curso escolar,,2027-04-15,SÍ,https://www.educacionfpydeportes.gob.es/servicios-al-ciudadano/catalogo/general/05/050140/ficha/050140-2026.html,OK · Ministerio; plazo FINALIZADO,,"Base original: Ayudas para alumnado con necesidad específica de apoyo educativo, entre otros supuestos TEA, discapacidad desde el grado exigido, trastornos graves de conducta o de comunicación y lenguaje. | Quién: Alumnado que reúna los requisitos de la convocatoria 2026-2027. Plazo: 19 de mayo a 10 de septiembre de 2026. | Documentos: Solicitud telemática y documentación académica, familiar y económica que exija la convocatoria; informes o certificados cuando correspondan. | Nota: Incompatible con la beca general para estudios postobligatorios. Algunos subsidios para familia numerosa no atienden a renta o patrimonio. | Cuantía: Enseñanza 862 € · transporte 617 € · comedor 574 € · material 105/204 € · reeducación pedagógica 913 € · lenguaje 913 € · gastos generales 400 € | La fuente oficial confirma solicitudes del 19/05/2026 08:00 al 10/09/2026 15:00 y estado FINALIZADO. No hay siguiente convocatoria oficial identificada a 20/09/2026."
es-nacimiento-discapacidad-ampliacion,Ampliación del descanso por nacimiento o adopción de un menor con discapacidad,Seguridad Social,España · Estatal,estatal,Familia,https://prestaciones.seg-social.es/servicio/prestacion-nacimiento-adopcion-cuidado-menor,prestación,2026-09-20,PERMANENTE,,,no,,2026-12-20,SÍ,https://prestaciones.seg-social.es/servicio/prestacion-nacimiento-adopcion-cuidado-menor,OK · Seguridad Social oficial,,"Base original: Cuando nace o se adopta un menor con discapacidad, el periodo de descanso asociado a la prestación por nacimiento y cuidado puede ampliarse una semana, además de otras ampliaciones que puedan concurrir por parto múltiple, monoparentalidad u hospitalización. | Quién: Personas beneficiarias de la prestación por nacimiento/adopción/cuidado cuando el menor tiene discapacidad y se cumplen los requisitos de la Seguridad Social. | Documentos: Solicitud de la prestación y acreditación de la discapacidad del menor, además de la documentación de nacimiento/adopción y laboral exigida. | Nota: Puede concurrir con otras ampliaciones previstas para nacimiento múltiple, familia monoparental u hospitalización cuando legalmente proceda. | Cuantía: 1 semana adicional de descanso en los supuestos previstos"
es-nacimiento-1000,Pago único por nacimiento o adopción en determinados supuestos,Seguridad Social,España · Estatal,estatal,Familia,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/10967/85/097735,prestación,2026-09-20,PERMANENTE,,,no,,2027-01-15,SÍ,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/10967/85/097735,OK · Seguridad Social oficial,,"Base original: Prestación de pago único para nacimientos o adopciones en familias numerosas, monoparentales o cuando la madre o el padre tenga discapacidad igual o superior al 65 %, si se cumplen los requisitos. | Quién: Familias que encajen en uno de los supuestos protegidos y no superen los límites de ingresos establecidos. | Documentos: Solicitud, identificación, acreditación familiar, nacimiento/adopción, discapacidad cuando proceda y datos de ingresos. | Nota: Debe revisarse con otras prestaciones por nacimiento y ayudas autonómicas; la compatibilidad depende de cada ayuda concreta. | Cuantía: 1.000 € en 2026, sujeto a límites de ingresos"
es-familia-numerosa,Título de familia numerosa,BOE,España · Estatal,estatal,Familia,https://www.boe.es/buscar/act.php?id=BOE-A-2003-21052,derecho subjetivo,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://www.boe.es/buscar/act.php?id=BOE-A-2003-21052,OK · BOE legislación consolidada,,"Base original: El título puede dar acceso a descuentos, beneficios educativos, transporte, fiscalidad, vivienda y otras ayudas. En determinados supuestos dos hijos son suficientes, por ejemplo cuando uno tiene discapacidad. | Quién: Familias que encajen en los supuestos de la Ley de Protección a las Familias Numerosas. | Documentos: Documentación familiar, identificación y acreditaciones específicas como discapacidad o estudios, según el caso. | Nota: Los beneficios estatales son mínimos y pueden acumularse con beneficios autonómicos o locales cuando sus normas lo permitan. | Cuantía: Beneficios variables"
es-irpf-numerosa,Deducción estatal por familia numerosa,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-relacionadas-hijos-descendientes/deduccion-familia-numerosa/importe-deduccion.html,deducción,2026-09-20,PERMANENTE,,,sí · campaña IRPF,,2027-03-01,SÍ,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-relacionadas-hijos-descendientes/deduccion-familia-numerosa/importe-deduccion.html,OK · AEAT oficial,,Base original: Deducción estatal del IRPF que puede solicitarse también mediante abono anticipado cuando se cumplen los requisitos. | Quién: Contribuyentes que cumplan las condiciones de la Agencia Tributaria y tengan título de familia numerosa vigente. | Documentos: Modelo 143 para abono anticipado y datos acreditativos requeridos por la AEAT. | Nota: Compatible con las deducciones por descendiente o ascendiente con discapacidad a cargo. | Cuantía: Hasta 1.200 €/año · categoría especial hasta 2.400 €/año · +600 €/año por hijo excedente
es-maternidad-guarderia,Deducción por maternidad y gastos de guardería,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-relacionadas-hijos-descendientes/deduccion-maternidad.html,deducción,2026-09-20,PERMANENTE,,,sí · campaña IRPF,,2027-03-01,SÍ,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-relacionadas-hijos-descendientes/deduccion-maternidad.html,OK · AEAT oficial,,"Base original: La deducción por maternidad puede incrementarse por determinados gastos de custodia en guarderías o centros de educación infantil autorizados. | Quién: Madres que cumplan los requisitos fiscales de la deducción y, para el incremento, gastos válidos en centro autorizado. | Documentos: Datos fiscales y del menor; el centro comunica determinados datos a la AEAT. | Nota: El incremento de guardería se aplica en la declaración y no se cobra anticipadamente. | Cuantía: Maternidad hasta 1.200 €/año · incremento por guardería hasta 1.000 €/año"
es-irpf-discapacidad,Deducción por persona con discapacidad a cargo,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-personas-discapacidad.html,deducción,2026-09-20,PERMANENTE,,,sí · campaña IRPF,,2027-03-01,SÍ,https://sede.agenciatributaria.gob.es/Sede/ciudadanos-familias-personas-discapacidad/deducciones-personas-discapacidad.html,OK · AEAT oficial,,"Base original: Deducciones del IRPF por determinados familiares con discapacidad a cargo. | Quién: Depende del vínculo, grado de discapacidad, rentas y requisitos fiscales de cada modalidad. | Documentos: Acreditación de discapacidad y documentación fiscal correspondiente. | Nota: Puede coexistir con la deducción por familia numerosa cuando se cumplen ambos requisitos. | Cuantía: Hasta 1.200 €/año por descendiente, ascendiente o cónyuge en los supuestos previstos"
es-impuesto-matriculacion-discapacidad,Exención o no sujeción del impuesto de matriculación por discapacidad,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-especifico-personas-discapacidad/impuesto-matriculacion.html,bonificación,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-especifico-personas-discapacidad/impuesto-matriculacion.html,OK · AEAT oficial,,"Base original: La normativa de 2026 contempla no sujeción para vehículos para personas con movilidad reducida y exención para determinados medios de transporte matriculados a nombre de personas con discapacidad para su uso exclusivo. | Quién: Personas y vehículos que encajen en los supuestos establecidos en la Ley del Impuesto Especial sobre Determinados Medios de Transporte. | Documentos: Documentación del vehículo, identificación y acreditación de discapacidad y uso exclusivo, además de la solicitud o autoliquidación que corresponda. | Nota: Puede coexistir con el IVA reducido del 4 % si se cumplen por separado todos los requisitos de ambos beneficios. | Cuantía: Exención o no sujeción del IEDMT cuando se cumplen los requisitos"
es-iva-vehiculo-discapacidad,IVA del 4 % para determinados vehículos de personas con discapacidad,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/procedimientos/GZ13.shtml,bonificación,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://sede.agenciatributaria.gob.es/Sede/procedimientos/GZ13.shtml,OK · AEAT procedimiento oficial,,"Base original: Puede aplicarse el tipo reducido del 4 % a determinados vehículos destinados al transporte habitual de personas con discapacidad en silla de ruedas o con movilidad reducida, incluso si conduce otra persona. | Quién: Adquisiciones que cumplan los requisitos de destino y movilidad/discapacidad. En los supuestos que requieren reconocimiento previo debe obtenerse antes de comprar el vehículo. | Documentos: Solicitud a la AEAT y documentación que acredite discapacidad o movilidad reducida y que el vehículo se destinará al transporte habitual de la persona beneficiaria. | Nota: Puede coexistir con otros beneficios fiscales del vehículo si se cumplen sus requisitos específicos; cada ventaja tiene un procedimiento propio. | Cuantía: IVA reducido al 4 %"
es-irpf-minimo-discapacidad,Mínimo por discapacidad en el IRPF,Agencia Tributaria,España · Estatal,estatal,Fiscalidad,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-especifico-irpf-2025-personas-anos/minimos/minimo-discapacidad.html,deducción,2026-09-20,PERMANENTE,,,sí · campaña IRPF,,2027-03-01,SÍ,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-especifico-irpf-2025-personas-anos/minimos/minimo-discapacidad.html,OK · AEAT manual Renta 2025,,"Base original: El mínimo por discapacidad reduce la parte de renta que se somete al cálculo del IRPF. Se aplica al propio contribuyente y, cumpliendo las condiciones, a ascendientes o descendientes con discapacidad. | Quién: Contribuyentes con el grado de discapacidad exigido o con ascendientes/descendientes que generen derecho al mínimo correspondiente. La situación se valora según las reglas del IRPF. | Documentos: Declaración de la renta y acreditación de discapacidad; para el incremento de asistencia puede ser necesaria acreditación de ayuda de tercera persona o movilidad reducida. | Nota: Es una medida fiscal distinta de la deducción de hasta 1.200 € por descendiente/ascendiente con discapacidad. Pueden coexistir cuando se cumplen por separado sus requisitos. | Cuantía: 3.000 €/año con discapacidad ≥33 % y <65 % · 9.000 €/año con ≥65 % · +3.000 €/año por asistencia en determinados supuestos | La URL verificada corresponde al Manual de Renta 2025; revisar y sustituir por el manual del ejercicio siguiente cuando se publique."
es-incapacidad-permanente-contributiva,Incapacidad permanente contributiva,Seguridad Social,España · Estatal,estatal,Ingresos y prestaciones,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/10960/28750/28680/28700/28709/42804,prestación,2026-09-20,PERMANENTE,,,no,,2027-01-15,SÍ,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/10960/28750/28680/28700/28709/42804,OK · Seguridad Social oficial,,"Base original: Prestación contributiva para personas trabajadoras cuya capacidad laboral queda reducida o anulada de forma previsiblemente definitiva. Existen distintos grados y la cuantía depende de la base de cotización y de la causa de la incapacidad. | Quién: Personas trabajadoras declaradas en el grado correspondiente y que cumplen los requisitos de afiliación, alta y cotización aplicables según la contingencia. | Documentos: Solicitud, identificación y documentación médica/laboral; el INSS puede recabar informes y efectuar valoración por el Equipo de Valoración de Incapacidades. | Nota: Depende del grado. Algunas modalidades permiten determinados trabajos compatibles y otras tienen reglas más restrictivas. Debe comprobarse antes de iniciar o mantener una actividad. | Cuantía: Cuantía según grado, base reguladora y causa; por ejemplo, la total suele partir del 55 % de la base reguladora y puede aumentar al 75 % en determinados mayores de 55 años"
es-imv-cai,Ingreso Mínimo Vital y Complemento de Ayuda para la Infancia,Seguridad Social,España · Estatal,estatal,Ingresos y prestaciones,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/65850d68-8d06-4645-bde7-05374ee42ac7,prestación,2026-09-20,PERMANENTE,,,no,,2027-01-15,SÍ,https://www.seg-social.es/wps/portal/wss/internet/Trabajadores/PrestacionesPensionesTrabajadores/65850d68-8d06-4645-bde7-05374ee42ac7,OK · Seguridad Social oficial,,"Base original: El Complemento de Ayuda para la Infancia puede reconocerse a hogares con menores que cumplen los límites económicos, incluso en algunos casos sin percibir la cuantía completa del IMV. | Quién: Hogares que cumplan requisitos de renta, patrimonio, unidad de convivencia y residencia. | Documentos: Identificación, datos de convivencia, ingresos, patrimonio y documentación requerida por Seguridad Social. | Nota: Debe comprobarse cómo computan otras prestaciones o ingresos en el cálculo del IMV. | Cuantía: Complemento infantil según edad y situación económica"
es-pnc-incapacidad-2026,Pensión no contributiva de incapacidad (PNC) 2026,IMSERSO,España · Estatal,estatal,Ingresos y prestaciones,https://imserso.es/es/web/imserso/pnc-prestaciones-subvenciones/pnc-invalidez/normativa-requisitos,prestación,2026-09-20,PERMANENTE,,,sí · cuantía anual,,2027-01-15,SÍ,https://imserso.es/es/web/imserso/pnc-prestaciones-subvenciones/pnc-invalidez/normativa-requisitos,Fuente IMSERSO oficial; contenido 2026 confirmado en páginas IMSERSO alternativas,,"Base original: Prestación para personas de 18 a menos de 65 años con discapacidad igual o superior al 65 %, residencia legal suficiente en España y carencia de ingresos. La cuantía real depende de los ingresos personales y de la unidad de convivencia. | Quién: Personas de 18 a 64 años con discapacidad ≥65 %, al menos 5 años de residencia legal en España (2 inmediatamente anteriores a la solicitud) y límites de ingresos. Para el complemento se exige discapacidad ≥75 % y necesidad de ayuda de otra persona. | Documentos: Solicitud, identificación, residencia, resolución de discapacidad y documentación económica de la persona y, cuando proceda, de la unidad de convivencia. | Nota: Incompatible con PNC de jubilación, determinadas pensiones asistenciales y con ser causante de la asignación por hijo mayor de 18 años con discapacidad ≥65 %. Puede compatibilizarse temporalmente con trabajo dentro de los límites legales. | Cuantía: Hasta 8.803,20 €/año (628,80 €/mes en 14 pagas) · mínimo 2.200,80 €/año · complemento de tercera persona 4.401,60 €/año | Cuantía 2026 confirmada: 8.803,20 €/año; mínimo 2.200,80 €; complemento tercera persona 4.401,60 €."
es-hijo-discapacidad,Prestación por hijo o menor con discapacidad,Seguridad Social,España · Estatal,estatal,Ingresos y prestaciones,https://www.seg-social.es/wps/portal/wss/internet/Pensionistas/Revalorizacion/36869/40885,prestación,2026-09-20,PERMANENTE,,,sí · cuantías anuales,,2027-01-15,SÍ,https://www.seg-social.es/wps/portal/wss/internet/Pensionistas/Revalorizacion/36869/40885,OK · Seguridad Social oficial,,"Base original: Prestación familiar de la Seguridad Social vinculada al grado de discapacidad del hijo o menor a cargo. | Quién: Familias que cumplan las condiciones de la prestación y tengan el grado de discapacidad exigido. | Documentos: Solicitud, identificación, acreditación familiar y resolución de discapacidad; la Seguridad Social puede requerir documentación adicional. | Nota: Debe revisarse con otras prestaciones familiares; el grado de discapacidad no sustituye otros requisitos. | Cuantía: Menor de 18 años ≥33 %: 1.000 €/año · ≥18 años y ≥65 %: 5.962,80 €/año · ≥75 % con necesidad de ayuda: 8.942,40 €/año"
es-pnc-alquiler-2026,Complemento de PNC por vivienda alquilada 2026,IMSERSO,España · Estatal,estatal,Vivienda,https://imserso.es/es/web/imserso/pnc-prestaciones-subvenciones/solicitud-complemento-titulares-pension-contributiva,prestación,2026-09-20,ABIERTO,,31 de diciembre de 2026,sí · anual,,2027-01-02,SÍ,https://imserso.es/es/web/imserso/pnc-prestaciones-subvenciones/solicitud-complemento-titulares-pension-contributiva,OK · IMSERSO oficial; plazo 2026 vigente,,"Base original: Pago único anual para titulares de una pensión no contributiva de jubilación o incapacidad que viven de forma habitual en una vivienda alquilada y no tienen vivienda en propiedad. | Quién: Tener PNC reconocida, carecer de vivienda en propiedad, ser titular del alquiler y acreditar que es la vivienda habitual. El arrendador no puede ser cónyuge, pareja ni familiar hasta tercer grado. | Documentos: Solicitud, contrato de alquiler, identificación y la documentación que acredite residencia habitual y requisitos de la PNC. | Nota: Es un complemento ligado a la PNC. Si conviven varios pensionistas PNC en la misma vivienda, solo corresponde al titular del contrato o al primero de ellos si hay varios titulares. | Cuantía: 525 € al año | IMSERSO confirma que el plazo de solicitud de este complemento para 2026 finaliza el 31/12/2026."
es-vivienda-accesibilidad,Plan Estatal de Vivienda 2026-2030 · accesibilidad,BOE / Ministerio de Vivienda,España · Estatal,estatal,Vivienda,https://www.boe.es/buscar/act.php?id=BOE-A-2026-8872,programa,2026-09-20,PERMANENTE,,,sí · convocatorias autonómicas,,2026-12-20,SÍ,https://www.boe.es/buscar/act.php?id=BOE-A-2026-8872,OK · BOE Plan Estatal 2026-2030,,"Base original: Ayudas para actuaciones de accesibilidad en viviendas. Las comunidades autónomas desarrollan y convocan las líneas del Plan Estatal. | Quién: Viviendas y actuaciones que encajen en los programas y convocatorias autonómicas del plan. | Documentos: Proyecto o memoria, presupuestos, acreditación de residencia y discapacidad y documentación que pida la convocatoria. | Nota: Puede haber compatibilidad con otras subvenciones, sin superar el coste de la actuación y según el programa concreto. | Cuantía: Hasta 15.000 € por vivienda con discapacidad ≥33 % · hasta 18.000 € con discapacidad ≥65 % | El Plan Estatal está vigente, pero la solicitud efectiva depende de programas/convocatorias autonómicas. No presentar como convocatoria estatal abierta."
es-bono-social,Bono social eléctrico 2026,MITECO,España · Estatal,estatal,Suministros,https://www.miteco.gob.es/es/energia/pobreza-energetica/pe-001/requisitos.html,bonificación,2026-09-20,PERMANENTE,,,no,,2027-01-02,SÍ,https://www.miteco.gob.es/es/energia/pobreza-energetica/pe-001/requisitos.html,OK · MITECO oficial,,"Base original: Descuento sobre la factura eléctrica para consumidores vulnerables y vulnerables severos que cumplen los requisitos del bono social. | Quién: Titular del suministro de vivienda habitual en las condiciones exigidas y perteneciente a alguno de los colectivos o umbrales previstos. | Documentos: Solicitud a comercializadora de referencia y acreditaciones según situación familiar o económica. | Nota: Las familias numerosas mantienen el bono mientras esté vigente el título si continúan cumpliendo el resto de condiciones. | Cuantía: Hasta 31/12/2026: 42,5 % vulnerable · 57,5 % vulnerable severo | El programa es estable; los descuentos extraordinarios actuales son 42,5% (vulnerable) y 57,5% (vulnerable severo) hasta el 31/12/2026."
es-bono-social-termico,Bono social térmico,Ministerio para la Transición Ecológica,España · Estatal,estatal,Suministros,https://www.miteco.gob.es/es/energia/pobreza-energetica/pe-001/requisitos.html,prestación,2026-09-20,PERMANENTE,,,sí · anual,,2027-01-15,SÍ,https://www.miteco.gob.es/es/energia/pobreza-energetica/pe-001/requisitos.html,OK · MITECO oficial,,"Base original: Ayuda anual para calefacción, agua caliente y cocina. Se concede a quienes eran beneficiarios del bono social eléctrico a 31 de diciembre del año anterior. | Quién: Ser beneficiario del bono social eléctrico a 31 de diciembre del año anterior y no renunciar a la ayuda. | Documentos: No se presenta una solicitud estatal independiente: la gestión y el pago corresponden a las comunidades y ciudades autónomas, que pueden pedir datos adicionales para efectuar el pago. | Nota: Se vincula al bono social eléctrico y no lo sustituye. Puede coexistir con otras ayudas de suministros salvo incompatibilidad expresa de una convocatoria concreta. | Cuantía: Cuantía variable según zona climática, vulnerabilidad y presupuesto anual | Se reconoce a quienes fueran beneficiarios del bono social eléctrico a 31 de diciembre del año anterior, sin solicitud; gestión/pago por CCAA y ciudades autónomas."
es-transporte-familia-numerosa,Bonificaciones de transporte para familias numerosas,Ministerio de Transportes,España · Estatal,estatal,Transporte,https://sede.transportes.gob.es/areas-actividad/transporte-terrestre/ayudas-subvenciones-sector-transporte-terrestre/liquidacion-bonificaciones-transporte-ferroviario-miembros-familias-numerosas,bonificación,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://sede.transportes.gob.es/areas-actividad/transporte-terrestre/ayudas-subvenciones-sector-transporte-terrestre/liquidacion-bonificaciones-transporte-ferroviario-miembros-familias-numerosas,OK · Ministerio de Transportes; marco legal vigente,,"Base original: El título de familia numerosa da derecho a reducciones en determinados transportes ferroviarios, por carretera y otros servicios regulados por la normativa estatal. | Quién: Miembros de familias con título de familia numerosa vigente, según categoría y condiciones del operador o servicio. | Documentos: Título o carné de familia numerosa vigente y documento de identidad; el operador puede exigir acreditación en la compra o durante el viaje. | Nota: Puede acumularse con otras reducciones cuando la normativa o las condiciones del título lo permiten; debe comprobarse en el operador concreto. | Cuantía: 20 % categoría general · 50 % categoría especial en los transportes previstos legalmente | La URL oficial está orientada a la liquidación a empresas ferroviarias; proponer enlace ciudadano complementario sin eliminar trazabilidad legal."
es-smgt-2026,Subsidio de movilidad y compensación por gastos de transporte (SMGT),IMSERSO,España · Estatal,estatal,Transporte,https://imserso.es/en/pnc-prestaciones-subvenciones/prestaciones-sociales-economicas-personas-discapacidad/actualizacion-prestaciones,prestación,2026-09-20,PERMANENTE,,,sí · cuantía anual,,2027-01-15,SÍ,https://imserso.es/en/pnc-prestaciones-subvenciones/prestaciones-sociales-economicas-personas-discapacidad/actualizacion-prestaciones,OK · IMSERSO; actualización 2026,,"Base original: Subsidio económico para determinados gastos de desplazamiento de personas con discapacidad que cumplen los requisitos del sistema de prestaciones sociales y económicas para personas con discapacidad. | Quién: Personas con discapacidad que reúnan los requisitos específicos del subsidio, incluida la dificultad para utilizar transportes colectivos y los límites económicos aplicables. | Documentos: Solicitud ante el órgano gestor competente, identificación, acreditación de discapacidad y movilidad, residencia y documentación económica requerida. | Nota: Debe revisarse con otras prestaciones de la misma naturaleza. La normativa mantiene reglas específicas de incompatibilidad y concurrencia. | Cuantía: 85,80 €/mes · 1.029,60 €/año en 2026"
es-tarjeta-estacionamiento,Tarjeta de estacionamiento para personas con discapacidad y movilidad reducida,BOE / administración competente,España · Estatal,estatal,Transporte,https://www.boe.es/buscar/act.php?id=BOE-A-2014-13362,derecho subjetivo,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://www.boe.es/buscar/act.php?id=BOE-A-2014-13362,OK · BOE,,"Base original: Documento público que permite a las personas que cumplen los requisitos estacionar el vehículo en el que se desplazan lo más cerca posible de su destino, con las condiciones que establezca la normativa aplicable. | Quién: Personas con discapacidad reconocida que se encuentren en los supuestos legales de movilidad reducida u otros casos previstos. La tramitación concreta corresponde a la administración territorial competente. | Documentos: Solicitud, identificación, acreditación de discapacidad y dictamen o acreditación de movilidad reducida; pueden exigirse fotografía y empadronamiento según territorio. | Nota: Compatible con otros beneficios de discapacidad o transporte; el uso de la tarjeta está sujeto a sus propias reglas y no implica gratuidad automática de estacionamiento en todos los municipios. | Cuantía: Derecho de estacionamiento; sin cuantía económica fija"
es-salud-mental,Atención de salud mental infantil y adolescente en el SNS,Ministerio de Sanidad,España · Estatal,estatal,Salud,https://www.sanidad.gob.es/profesionales/prestacionesSanitarias/CarteraDeServicios/ContenidoCS/3AtencionEspecializada/AE-7-SaludMental.htm,servicio,2026-09-20,PERMANENTE,,,no,,2027-03-20,SÍ,https://www.sanidad.gob.es/profesionales/prestacionesSanitarias/CarteraDeServicios/ContenidoCS/3AtencionEspecializada/AE-7-SaludMental.htm,OK · Ministerio de Sanidad,,"Base original: La cartera de salud mental contempla evaluación y tratamiento de problemas psicopatológicos en infancia y adolescencia, incluidos autismo y trastornos de la conducta alimentaria, según indicación clínica. | Quién: Acceso mediante el sistema sanitario público y los circuitos de derivación de cada comunidad autónoma. | Documentos: Tarjeta sanitaria e informes clínicos cuando proceda. | Nota: La atención pública puede coexistir con apoyos educativos o sociales; la compatibilidad con financiación privada debe revisarse por ayuda concreta. | Cuantía: Servicio sanitario público según cartera y organización autonómica"
