page_id,ruta,claims_relevantes,claims_verificados,claims_requieren_correccion,claims_historicos_conservados,fuentes_secundarias_justificadas,estado,fecha_consulta,correccion_pendiente,gate
abandono-temprano-de-educacion-y-formacion,/es/datos/abandono-temprano-de-educacion-y-formacion/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-carga-de-salud-poblacional,/es/datos/autismo-carga-de-salud-poblacional/,1,1,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-diferencias-por-sexo-en-la-estimacion-mundial,/es/datos/autismo-diferencias-por-sexo-en-la-estimacion-mundial/,4,4,0,0,0,EN_REVISIÓN,2026-09-21,"Corregir Población medida para abarcar varones, mujeres y el metaanálisis de razón por sexo.",Claims respaldados; queda corrección de metadato/estructura antes de VERIFICADA.
autismo-en-la-poblacion,/es/datos/autismo-en-la-poblacion/,7,6,0,1,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-en-ninos-y-jovenes,/es/datos/autismo-en-ninos-y-jovenes/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-identificado-en-ninos-de-8-anos,/es/datos/autismo-identificado-en-ninos-de-8-anos/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-y-discapacidad-intelectual-en-addm,/es/datos/autismo-y-discapacidad-intelectual-en-addm/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo-y-salud-mental-coexistencia-no-equivalencia,/es/datos/autismo-y-salud-mental-coexistencia-no-equivalencia/,9,9,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
autismo,/es/datos/autismo/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
bienestar-discriminacion-y-violencia-en-la-infancia-con-discapacidad,/es/datos/bienestar-discriminacion-y-violencia-en-la-infancia-con-discapacidad/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
brecha-de-empleo-asociada-a-discapacidad,/es/datos/brecha-de-empleo-asociada-a-discapacidad/,2,0,1,1,0,EN_REVISIÓN,2026-09-21,"Hacer explícito 2025 como año de los datos del 24,2 pp; mantener 2026 como publicación.",Al menos un claim requiere changeset.
brecha-salarial-en-autismo,/es/datos/brecha-salarial-en-autismo/,1,1,0,0,1,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
brecha-salarial-y-discapacidad,/es/datos/brecha-salarial-y-discapacidad/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
condiciones-coexistentes-y-necesidades-educativas,/es/datos/condiciones-coexistentes-y-necesidades-educativas/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
cuatro-cifras-de-autismo-que-no-miden-lo-mismo,/es/datos/cuatro-cifras-de-autismo-que-no-miden-lo-mismo/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
desigualdad-en-salud-asociada-a-discapacidad,/es/datos/desigualdad-en-salud-asociada-a-discapacidad/,5,5,0,0,5,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
diferencia-por-sexo-en-identificacion-de-autismo,/es/datos/diferencia-por-sexo-en-identificacion-de-autismo/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
discalculia-y-disgrafia-por-que-no-damos-una-cifra-mundial-unica,/es/datos/discalculia-y-disgrafia-por-que-no-damos-una-cifra-mundial-unica/,0,0,0,0,0,VERIFICADA,2026-09-21,,Sin claim cuantitativo relevante que cambie el significado; tesis metodológica y fuentes revisadas.
