claim_id,page_id,texto_publicado,valor,unidad,tipo_de_medida,poblacion,territorio,periodo_de_datos,periodo_de_recogida,fecha_publicacion,metodo,fuente,fuente_primaria,url_doi,intervalo_incertidumbre,coincidencia_fuente_web,limitacion,comparability,atomicidad,derivado,formula_op,numerador,denominador,formula,redondeo,tolerancia,decision,correccion_propuesta,fecha_consulta
abandono-temprano-de-educacion-y-formacion-c01,abandono-temprano-de-educacion-y-formacion,"44,2 % de jóvenes de 18–24 años (discapacidad grave) eran abandono temprano de educación y formación.",44.2,porcentaje,porcentaje,jóvenes de 18–24 años,Unión Europea,2024,NO_ESPECIFICADO_SEPARADAMENTE,2025-11-13,EU-LFS / estadística oficial,Eurostat,SI,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20251113-1,NO_APLICA,SI,Definición basada en limitación de actividad; no equivale a diagnóstico clínico.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
abandono-temprano-de-educacion-y-formacion-c02,abandono-temprano-de-educacion-y-formacion,"17,1 % de jóvenes de 18–24 años (alguna discapacidad) eran abandono temprano de educación y formación.",17.1,porcentaje,porcentaje,jóvenes de 18–24 años,Unión Europea,2024,NO_ESPECIFICADO_SEPARADAMENTE,2025-11-13,EU-LFS / estadística oficial,Eurostat,SI,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20251113-1,NO_APLICA,SI,Definición basada en limitación de actividad; no equivale a diagnóstico clínico.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
abandono-temprano-de-educacion-y-formacion-c03,abandono-temprano-de-educacion-y-formacion,"8,0 % de jóvenes de 18–24 años (sin discapacidad) eran abandono temprano de educación y formación.",8.0,porcentaje,porcentaje,jóvenes de 18–24 años,Unión Europea,2024,NO_ESPECIFICADO_SEPARADAMENTE,2025-11-13,EU-LFS / estadística oficial,Eurostat,SI,https://ec.europa.eu/eurostat/web/products-eurostat-news/w/ddn-20251113-1,NO_APLICA,SI,Definición basada en limitación de actividad; no equivale a diagnóstico clínico.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-c01,autismo,"61,8 millones de personas autistas estimadas en 2021.",61.8,millones de personas,conteo absoluto modelizado,todas las edades,Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,UI95% 52.1–72.7 millones,SI,"Modelización, no recuento de diagnósticos.",NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-c02,autismo,"Prevalencia mundial estandarizada por edad: 788,3 por 100.000.",788.3,por 100.000,prevalencia modelizada,todas las edades,Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,UI95% 663.8–927.2,SI,Modelización global.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-c02b,autismo,Representación equivalente publicada: aproximadamente 1 de cada 127 personas.,127,"N en ""1 de cada N""",conversión equivalente,todas las edades,Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Modelización global.,NO_APLICA,ATOMICO,SI,ONE_IN_N_FROM_RATE_100000,788.3,100000,100000/788.3,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-carga-de-salud-poblacional-c01,autismo-carga-de-salud-poblacional,"El autismo representó 11,5 millones de DALYs en 2021.",11.5,millones de DALYs,conteo absoluto / carga de salud,"personas autistas, todas las edades",Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,modelización GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,7.8–16.3 millones,SI,"DALY es una métrica modelizada de carga de salud, no número de personas.",LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-diferencias-por-sexo-en-la-estimacion-mundial-c01,autismo-diferencias-por-sexo-en-la-estimacion-mundial,"La prevalencia modelizada fue 1064,7 por 100.000 en varones.",1064.7,por 100.000,prevalencia modelizada,"varones, todas las edades",Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,modelización GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,898.5–1245.7 por 100.000,SI,Estimación modelizada global.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-diferencias-por-sexo-en-la-estimacion-mundial-c02,autismo-diferencias-por-sexo-en-la-estimacion-mundial,"La prevalencia modelizada fue 508,1 por 100.000 en mujeres.",508.1,por 100.000,prevalencia modelizada,"mujeres, todas las edades",Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,modelización GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,424.6–604.3 por 100.000,SI,Estimación modelizada global.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-diferencias-por-sexo-en-la-estimacion-mundial-c02b,autismo-diferencias-por-sexo-en-la-estimacion-mundial,El GBD 2021 estimó una prevalencia modelizada aproximadamente dos veces mayor en varones que en mujeres.,2,veces (aprox.),razón derivada,"varones frente a mujeres, todas las edades",Mundo,2021,NO_ESPECIFICADO_SEPARADAMENTE,2025,modelización GBD 2021,GBD 2021 / Lancet Psychiatry,SI,https://pubmed.ncbi.nlm.nih.gov/39709974/,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Estimación modelizada global.,DIRECTA,ATOMICO,SI,RATIO,1064.7,508.1,1064.7/508.1,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-diferencias-por-sexo-en-la-estimacion-mundial-c03,autismo-diferencias-por-sexo-en-la-estimacion-mundial,"Metaanálisis: razón varón:mujer agrupada 4,20:1.",4.20,razón varón:mujer,razón,participantes de estudios de prevalencia ASD,Internacional,estudios posteriores a DSM-IV/CIE-10,NO_ESPECIFICADO_SEPARADAMENTE,2017-06,metaanálisis de efectos aleatorios,Loomes et al. 2017,SI,https://pubmed.ncbi.nlm.nih.gov/28545751/,IC95% 3.84–4.60,SI,Alta variabilidad entre estudios; no es razón biológica universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-diferencias-por-sexo-en-la-estimacion-mundial-c04,autismo-diferencias-por-sexo-en-la-estimacion-mundial,"En estudios con cribado poblacional, razón 3,25:1.",3.25,razón varón:mujer,razón,estudios con cribado de población general,Internacional,estudios incluidos en metaanálisis,NO_ESPECIFICADO_SEPARADAMENTE,2017-06,subgrupo de metaanálisis,Loomes et al. 2017,SI,https://pubmed.ncbi.nlm.nih.gov/28545751/,IC95% 2.93–3.62,SI,Subgrupo metodológico; no comparable directamente con identificación administrativa.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c01,autismo-en-la-poblacion,En 2022 se estimaron 290.900 personas autistas.,290900,personas,conteo absoluto de encuesta,personas de todas las edades,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,"SDAC 2022, encuesta poblacional",Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Estimación de encuesta; no registro diagnóstico exhaustivo.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c01b,autismo-en-la-poblacion,"En 2022 se estimó que el 1,1 % de la población era autista.",1.1,porcentaje,prevalencia observada en encuesta,personas de todas las edades,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,"SDAC 2022, encuesta poblacional",Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Estimación de encuesta; no registro diagnóstico exhaustivo.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
