area,information_routes_detected,games_detected,videos_detected,w1_gap
Autismo,1,10,10,REVISAR_ENLACES
TDAH,1,10,8,REVISAR_ENLACES
TOC,9,22,5,REVISAR_ENLACES
Ansiedad,7,10,5,REVISAR_ENLACES
Dislexia,1,10,3,REVISAR_ENLACES
Discalculia,1,10,4,REVISAR_ENLACES
Dispraxia / TDC,1,10,0,VIDEO_GAP
Altas capacidades,1,10,0,VIDEO_GAP
Discapacidad intelectual,1,0,0,VIDEO_GAP
Procesamiento sensorial,5,0,0,VIDEO_GAP
Comunicación,16,0,0,VIDEO_GAP
Sueño,11,12,0,VIDEO_GAP
Vida diaria / autonomía,16,0,0,PRIORIDAD_W1
Escuela,2,1,0,VIDEO_GAP
Empleo,6,0,0,VIDEO_GAP
Relaciones,8,0,0,VIDEO_GAP
LGTBIQ+,16,10,14,REACTIVAR_PRACTICO
Trámites y ayudas,5,10,0,VIDEO_GAP
