id,archivo,archivo_mulberry,coleccion,categoria,clave_es,clave_en,estado
carpeta,carpeta.svg,computer_folder.svg,Tarjeta Iris,Tarjeta,Carpeta,Folder,PUBLICABLE
escribir,escribir.svg,"write_,_to.svg",Tarjeta Iris,Tarjeta,Escribir,Write,PUBLICABLE
hablar,hablar.svg,"talk_,_to.svg",Tarjeta Iris,Tarjeta,Hablar,Talk,PUBLICABLE
preguntar,preguntar.svg,"ask_,_to.svg",Tarjeta Iris,Tarjeta,Preguntar,Ask,PUBLICABLE
esperar,esperar.svg,"wait_,_to.svg",Tarjeta Iris + Rutinas,Tiempo,Esperar,Wait,PUBLICABLE
despertarse,despertarse.svg,"wake_up_,_to.svg",Rutinas,Cuidado,Despertarse,Wake up,CANDIDATO
levantarse,levantarse.svg,"get_up_,_to.svg",Rutinas,Cuidado,Levantarse,Get up,CANDIDATO
lavarse-la-cara,lavarse-la-cara.svg,"wash_face_,_to.svg",Rutinas,Cuidado,Lavarse la cara,Wash face,CANDIDATO
lavarse-las-manos,lavarse-las-manos.svg,"wash_hands_,_to.svg",Rutinas,Cuidado,Lavarse las manos,Wash hands,CANDIDATO
lavarse-los-dientes,lavarse-los-dientes.svg,"brush_teeth_,_to.svg",Rutinas,Cuidado,Lavarse los dientes,Brush teeth,CANDIDATO
ducharse,ducharse.svg,"shower_1_,_to.svg",Rutinas,Cuidado,Ducharse,Shower,CANDIDATO
banarse,banarse.svg,bath.svg,Rutinas,Cuidado,Bañarse,Bath,CANDIDATO
peinarse,peinarse.svg,"brush_hair_,_to.svg",Rutinas,Cuidado,Peinarse,Brush hair,CANDIDATO
vestirse,vestirse.svg,"get_dressed_,_to.svg",Rutinas,Cuidado,Vestirse,Get dressed,CANDIDATO
pijama,pijama.svg,pyjamas.svg,Rutinas,Cuidado,Pijama,Pyjamas,CANDIDATO
bano,bano.svg,toilet.svg,Rutinas,Cuidado,Baño,Toilet,CANDIDATO
medicacion,medicacion.svg,medicine.svg,Rutinas,Salud,Medicación,Medicine,CANDIDATO
gafas,gafas.svg,glasses.svg,Rutinas,Cuidado,Gafas,Glasses,CANDIDATO
desayunar,desayunar.svg,breakfast_1.svg,Rutinas,Comida,Desayunar,Breakfast,CANDIDATO
comer,comer.svg,"eat_,_to.svg",Rutinas,Comida,Comer,Eat,CANDIDATO
comida,comida.svg,lunch_1.svg,Rutinas,Comida,Comida,Lunch,CANDIDATO
cenar,cenar.svg,dinner.svg,Rutinas,Comida,Cenar,Dinner,CANDIDATO
beber,beber.svg,"drink_,_to.svg",Rutinas,Comida,Beber,Drink,CANDIDATO
agua,agua.svg,water.svg,Rutinas,Comida,Agua,Water,CANDIDATO
cama,cama.svg,bed_time.svg,Rutinas,Descanso,Ir a la cama,Bedtime,CANDIDATO
descansar,descansar.svg,"relax_,_to.svg",Rutinas,Descanso,Descansar,Rest,CANDIDATO
recoger,recoger.svg,"tidy_up_,_to.svg",Rutinas,Casa,Recoger,Tidy up,CANDIDATO
basura,basura.svg,"put_in_bin_,_to.svg",Rutinas,Casa,Tirar a la basura,Put in bin,CANDIDATO
tele,tele.svg,"switch_on_television_,_to.svg",Rutinas,Casa,Ver la tele,Watch TV,CANDIDATO
ordenador,ordenador.svg,computer_1.svg,Rutinas,Casa,Ordenador,Computer,CANDIDATO
leer,leer.svg,"read_,_to.svg",Rutinas,Casa,Leer,Read,CANDIDATO
jugar,jugar.svg,"play_,_to.svg",Rutinas,Casa,Jugar,Play,CANDIDATO
perro,perro.svg,dog.svg,Rutinas,Casa,Perro,Dog,CANDIDATO
abrigo,abrigo.svg,coat.svg,Rutinas,Salir,Abrigo,Coat,CANDIDATO
llaves,llaves.svg,key_1.svg,Rutinas,Salir,Llaves,Keys,CANDIDATO
mochila,mochila.svg,school_bag.svg,Rutinas,Colegio,Mochila,School bag,CANDIDATO
puerta,puerta.svg,front_door.svg,Rutinas,Salir,Puerta de casa,Front door,CANDIDATO
salir,salir.svg,"exit_door_,_to.svg",Rutinas,Salir,Salir,Go out,CANDIDATO
andar,andar.svg,"walk_,_to.svg",Rutinas,Salir,Andar,Walk,CANDIDATO
autobus,autobus.svg,bus.svg,Rutinas,Salir,Autobús,Bus,CANDIDATO
tren,tren.svg,train.svg,Rutinas,Salir,Tren,Train,CANDIDATO
coche,coche.svg,car.svg,Rutinas,Salir,Coche,Car,CANDIDATO
bici,bici.svg,bicycle.svg,Rutinas,Salir,Bici,Bicycle,CANDIDATO
tienda,tienda.svg,shop.svg,Rutinas,Salir,Tienda,Shop,CANDIDATO
dinero,dinero.svg,money.svg,Rutinas,Salir,Dinero,Money,CANDIDATO
paraguas,paraguas.svg,umbrella.svg,Rutinas,Salir,Paraguas,Umbrella,CANDIDATO
sol,sol.svg,sun.svg,Rutinas,Salir,Sol,Sun,CANDIDATO
lluvia,lluvia.svg,rain.svg,Rutinas,Salir,Lluvia,Rain,CANDIDATO
colegio,colegio.svg,school.svg,Rutinas,Colegio,Colegio,School,CANDIDATO
botiquin,botiquin.svg,first_aid_box.svg,Rutinas,Salud,Botiquín,First aid,CANDIDATO
reloj,reloj.svg,clock.svg,Rutinas,Tiempo,Reloj,Clock,CANDIDATO
calendario,calendario.svg,calendar.svg,Rutinas,Tiempo,Calendario,Calendar,CANDIDATO
hoy,hoy.svg,today.svg,Rutinas,Tiempo,Hoy,Today,CANDIDATO
manana,manana.svg,tomorrow.svg,Rutinas,Tiempo,Mañana,Tomorrow,CANDIDATO
primero,primero.svg,first.svg,Rutinas,Tiempo,Primero,First,CANDIDATO
despues,despues.svg,next.svg,Rutinas,Tiempo,Después,Next,CANDIDATO
terminado,terminado.svg,finish.svg,Rutinas,Tiempo,Terminado,Finished,CANDIDATO
silencio,silencio.svg,quiet.svg,Rutinas,Descanso,Silencio,Quiet,CANDIDATO
auriculares,auriculares.svg,headphones.svg,Rutinas,Descanso,Auriculares,Headphones,CANDIDATO
telefono,telefono.svg,mobile_phone.svg,Rutinas,Salir,Teléfono,Phone,CANDIDATO
abrazo,abrazo.svg,"hug_,_to.svg",Rutinas,Casa,Abrazo,Hug,CANDIDATO
sentarse,sentarse.svg,"sit_,_to.svg",Rutinas,Descanso,Sentarse,Sit down,CANDIDATO
